Name: CCTV-1, URL: http://222.67.177.132/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://222.68.37.58/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-07, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://58.37.123.53/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-21, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.226.193.197/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-21, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.237.125.143/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-19, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://222.64.233.176/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-19, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://222.70.21.43/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-08, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://58.37.252.90/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.235.85.69/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://139.196.214.238/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-01-29, Delay: 253 ms, Speed: 0.11 M/s, Resolution: None
Name: CCTV-1, URL: http://222.70.189.54/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-18, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://101.229.224.165/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-07, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://101.83.130.59/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-10, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://180.175.52.79/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://139.196.151.191/rtp/239.45.3.145:5140$上海电信组播源, IPv_Type: ipv4, Date: 2024-03-01, Delay: 239 ms, Speed: 0.11 M/s, Resolution: None
Name: CCTV-1, URL: http://222.219.183.103/rtp/239.200.200.2:8080$云南电信组播源, IPv_Type: ipv4, Date: 2024-11-24, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://111.127.227.60/rtp/239.29.0.113:5000$内蒙古电信组播源, IPv_Type: ipv4, Date: 2025-02-21, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://1.183.139.254/rtp/239.29.0.113:5000$内蒙古电信组播源, IPv_Type: ipv4, Date: 2024-11-02, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://1.183.141.194/rtp/239.29.0.113:5000$内蒙古电信组播源, IPv_Type: ipv4, Date: 2024-06-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.104.248/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.104.236/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-16, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.106.117/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-08, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.106.246/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-02, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://110.7.128.71/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.107.216/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-17, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.106.154/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-02, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.105.51/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-01-29, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://110.7.131.79/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-07, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://110.7.131.129/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-04, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.115.224.207/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-20, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.105.71/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-16, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.107.20/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-10, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.107.187/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-17, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.107.84/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://116.117.106.103/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-16, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-1, URL: http://1.24.190.134/rtp/239.125.1.177:4130$内蒙古联通组播源, IPv_Type: ipv4, Date: 2025-02-08, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
